Date,close_real,real,proba_sobe,pred,acerto
2023-01-31,4020.43994140625,1,0.3674,0,0
2023-02-01,4037.199951171875,0,0.6779,1,0
2023-02-02,4141.8798828125,1,0.5638,1,1
2023-02-03,4123.35986328125,1,0.7143,1,1
2023-02-06,4093.3798828125,0,0.3705,0,1
2023-02-07,4088.389892578125,1,0.672,1,1
2023-02-08,4111.669921875,1,0.7402,1,1
2023-02-09,4069.669921875,1,0.5939,1,1
2023-02-10,4060.7900390625,1,0.6662,1,1
2023-02-13,4092.669921875,0,0.5408,1,0
2023-02-14,4095.010009765625,0,0.2915,0,1
2023-02-15,4103.97998046875,1,0.5864,1,1
2023-02-16,4089.489990234375,1,0.7206,1,1
2023-02-17,4047.949951171875,1,0.5757,1,1
2023-02-21,3995.18994140625,0,0.5913,1,0
2023-02-22,3976.89990234375,1,0.6656,1,1
2023-02-23,3969.18994140625,1,0.6718,1,1
2023-02-24,3943.080078125,0,0.5077,1,0
2023-02-27,3973.550048828125,1,0.4526,0,0
2023-02-28,3968.97998046875,1,0.7258,1,1
2023-03-01,3939.050048828125,1,0.6037,1,1
2023-03-02,3928.159912109375,0,0.5724,1,0
2023-03-03,3995.169921875,0,0.4692,0,1
2023-03-06,4044.610107421875,0,0.6111,1,0
2023-03-07,3980.31005859375,1,0.6613,1,1
2023-03-08,3969.760009765625,0,0.5262,1,0
2023-03-09,3908.699951171875,0,0.4633,0,1
2023-03-10,3846.320068359375,1,0.6608,1,1
2023-03-13,3808.860107421875,1,0.6586,1,1
2023-03-14,3873.6298828125,1,0.585,1,1
2023-03-15,3838.239990234375,0,0.6992,1,0
2023-03-16,3864.110107421875,0,0.5376,1,0
2023-03-17,3901.27001953125,0,0.6806,1,0
2023-03-20,3916.889892578125,0,0.55,1,0
2023-03-21,3971.18994140625,0,0.6373,1,0
2023-03-22,3936.169921875,0,0.683,1,0
2023-03-23,3919.050048828125,1,0.7146,1,1
2023-03-24,3909.159912109375,0,0.6241,1,0
2023-03-27,3970.489990234375,0,0.644,1,0
2023-03-28,3951.530029296875,0,0.6383,1,0
2023-03-29,3999.530029296875,1,0.7015,1,1
2023-03-30,4032.10009765625,1,0.6859,1,1
2023-03-31,4056.179931640625,0,0.5659,1,0
2023-04-03,4098.7900390625,0,0.3938,0,1
2023-04-04,4086.8701171875,0,0.5945,1,0
2023-04-05,4072.56005859375,0,0.3423,0,1
2023-04-06,4069.840087890625,0,0.3603,0,1
2023-04-10,4072.550048828125,1,0.4564,0,0
2023-04-11,4102.60986328125,0,0.5797,1,0
2023-04-12,4086.93994140625,1,0.6944,1,1
2023-04-13,4099.39990234375,1,0.6973,1,1
2023-04-14,4113.2001953125,1,0.6065,1,1
2023-04-17,4123.18017578125,1,0.6453,1,1
2023-04-18,4140.35986328125,0,0.6728,1,0
2023-04-19,4134.490234375,0,0.3279,0,1
2023-04-20,4114.56982421875,0,0.4438,0,1
2023-04-21,4113.85986328125,1,0.6827,1,1
2023-04-24,4117.77001953125,0,0.5759,1,0
2023-04-25,4071.3798828125,1,0.6481,1,1
2023-04-26,4049.35009765625,1,0.7187,1,1
2023-04-27,4075.2900390625,1,0.646,1,1
2023-04-28,4127.18017578125,1,0.6663,1,1
2023-05-01,4164.1201171875,0,0.6278,1,0
2023-05-02,4089.719970703125,0,0.4894,0,1
2023-05-03,4088.860107421875,0,0.6185,1,0
2023-05-04,4048.280029296875,1,0.6681,1,1
2023-05-05,4084.72998046875,1,0.6858,1,1
2023-05-08,4123.81005859375,0,0.5852,1,0
2023-05-09,4116.64990234375,1,0.4435,0,0
2023-05-10,4098.919921875,1,0.6293,1,1
2023-05-11,4109.2900390625,1,0.513,1,1
2023-05-12,4099.1201171875,1,0.6184,1,1
2023-05-15,4110.27001953125,0,0.5726,1,0
2023-05-16,4109.85986328125,0,0.5948,1,0
2023-05-17,4113.6201171875,0,0.6202,1,0
2023-05-18,4153.5,1,0.6782,1,1
2023-05-19,4180.2001953125,0,0.665,1,0
2023-05-22,4179.68017578125,0,0.5454,1,0
2023-05-23,4142.5400390625,1,0.6157,1,1
2023-05-24,4103.97998046875,1,0.7067,1,1
2023-05-25,4129.72998046875,1,0.6965,1,1
2023-05-26,4156.16015625,0,0.5743,1,0
2023-05-30,4192.18017578125,0,0.5507,1,0
2023-05-31,4166.14990234375,0,0.4891,0,1
2023-06-01,4171.64013671875,1,0.6265,1,1
2023-06-02,4241.009765625,1,0.6317,1,1
2023-06-05,4266.81982421875,0,0.6577,1,0
2023-06-06,4263.08984375,0,0.6355,1,0
2023-06-07,4263.9599609375,1,0.6499,1,1
