Date,close_real,real,proba_sobe,pred,acerto
2023-01-31,4020.43994140625,1,0.3153,0,0
2023-02-01,4037.199951171875,0,0.5549,1,0
2023-02-02,4141.8798828125,1,0.4889,0,0
2023-02-03,4123.35986328125,1,0.669,1,1
2023-02-06,4093.3798828125,0,0.3486,0,1
2023-02-07,4088.389892578125,1,0.6933,1,1
2023-02-08,4111.669921875,1,0.7347,1,1
2023-02-09,4069.669921875,1,0.4829,0,0
2023-02-10,4060.7900390625,1,0.5474,1,1
2023-02-13,4092.669921875,0,0.4281,0,1
2023-02-14,4095.010009765625,0,0.2825,0,1
2023-02-15,4103.97998046875,1,0.5233,1,1
2023-02-16,4089.489990234375,1,0.723,1,1
2023-02-17,4047.949951171875,1,0.4953,0,0
2023-02-21,3995.18994140625,0,0.54,1,0
2023-02-22,3976.89990234375,1,0.6987,1,1
2023-02-23,3969.18994140625,1,0.6062,1,1
2023-02-24,3943.080078125,0,0.3683,0,1
2023-02-27,3973.550048828125,1,0.3396,0,0
2023-02-28,3968.97998046875,1,0.711,1,1
2023-03-01,3939.050048828125,1,0.4648,0,0
2023-03-02,3928.159912109375,0,0.5334,1,0
2023-03-03,3995.169921875,0,0.3297,0,1
2023-03-06,4044.610107421875,0,0.6757,1,0
2023-03-07,3980.31005859375,1,0.5215,1,1
2023-03-08,3969.760009765625,0,0.3583,0,1
2023-03-09,3908.699951171875,0,0.2898,0,1
2023-03-10,3846.320068359375,1,0.7414,1,1
2023-03-13,3808.860107421875,1,0.7365,1,1
2023-03-14,3873.6298828125,1,0.4107,0,0
2023-03-15,3838.239990234375,0,0.6621,1,0
2023-03-16,3864.110107421875,0,0.3703,0,1
2023-03-17,3901.27001953125,0,0.6948,1,0
2023-03-20,3916.889892578125,0,0.3175,0,1
2023-03-21,3971.18994140625,0,0.4188,0,1
2023-03-22,3936.169921875,0,0.5661,1,0
2023-03-23,3919.050048828125,1,0.6391,1,1
2023-03-24,3909.159912109375,0,0.3615,0,1
2023-03-27,3970.489990234375,0,0.5066,1,0
2023-03-28,3951.530029296875,0,0.5862,1,0
2023-03-29,3999.530029296875,1,0.5781,1,1
2023-03-30,4032.10009765625,1,0.6147,1,1
2023-03-31,4056.179931640625,0,0.3818,0,1
2023-04-03,4098.7900390625,0,0.3347,0,1
2023-04-04,4086.8701171875,0,0.5856,1,0
2023-04-05,4072.56005859375,0,0.2706,0,1
2023-04-06,4069.840087890625,0,0.3276,0,1
2023-04-10,4072.550048828125,1,0.4975,0,0
2023-04-11,4102.60986328125,0,0.7376,1,0
2023-04-12,4086.93994140625,1,0.7627,1,1
2023-04-13,4099.39990234375,1,0.6639,1,1
2023-04-14,4113.2001953125,1,0.4195,0,0
2023-04-17,4123.18017578125,1,0.5908,1,1
2023-04-18,4140.35986328125,0,0.5463,1,0
2023-04-19,4134.490234375,0,0.2199,0,1
2023-04-20,4114.56982421875,0,0.3462,0,1
2023-04-21,4113.85986328125,1,0.7428,1,1
2023-04-24,4117.77001953125,0,0.5692,1,0
2023-04-25,4071.3798828125,1,0.5964,1,1
2023-04-26,4049.35009765625,1,0.7172,1,1
2023-04-27,4075.2900390625,1,0.6179,1,1
2023-04-28,4127.18017578125,1,0.5963,1,1
2023-05-01,4164.1201171875,0,0.5795,1,0
2023-05-02,4089.719970703125,0,0.3803,0,1
2023-05-03,4088.860107421875,0,0.5174,1,0
2023-05-04,4048.280029296875,1,0.5954,1,1
2023-05-05,4084.72998046875,1,0.5831,1,1
2023-05-08,4123.81005859375,0,0.4358,0,1
2023-05-09,4116.64990234375,1,0.3511,0,0
2023-05-10,4098.919921875,1,0.6515,1,1
2023-05-11,4109.2900390625,1,0.4758,0,0
2023-05-12,4099.1201171875,1,0.6099,1,1
2023-05-15,4110.27001953125,0,0.485,0,1
2023-05-16,4109.85986328125,0,0.5599,1,0
2023-05-17,4113.6201171875,0,0.4436,0,1
2023-05-18,4153.5,1,0.597,1,1
2023-05-19,4180.2001953125,0,0.5234,1,0
2023-05-22,4179.68017578125,0,0.3365,0,1
2023-05-23,4142.5400390625,1,0.3897,0,0
2023-05-24,4103.97998046875,1,0.6707,1,1
2023-05-25,4129.72998046875,1,0.6949,1,1
2023-05-26,4156.16015625,0,0.4071,0,1
2023-05-30,4192.18017578125,0,0.3981,0,1
2023-05-31,4166.14990234375,0,0.3295,0,1
2023-06-01,4171.64013671875,1,0.6038,1,1
2023-06-02,4241.009765625,1,0.5784,1,1
2023-06-05,4266.81982421875,0,0.6199,1,0
2023-06-06,4263.08984375,0,0.5387,1,0
2023-06-07,4263.9599609375,1,0.501,1,1
2023-06-08,4261.06982421875,0,0.6147,1,0
2023-06-09,4291.7001953125,1,0.4327,0,0
2023-06-12,4304.3701171875,0,0.5802,1,0
2023-06-13,4349.31005859375,1,0.4227,0,0
2023-06-14,4337.85009765625,1,0.5996,1,1
2023-06-15,4362.60009765625,1,0.6099,1,1
2023-06-16,4407.43994140625,0,0.4305,0,1
2023-06-20,4367.18994140625,0,0.4863,0,1
2023-06-21,4360.14013671875,0,0.4145,0,1
2023-06-22,4351.81982421875,1,0.4591,0,0
2023-06-23,4341.33984375,1,0.4951,0,0
2023-06-26,4328.080078125,1,0.5846,1,1
2023-06-27,4335.0,0,0.4549,0,1
2023-06-28,4360.22021484375,1,0.6701,1,1
2023-06-29,4371.97021484375,1,0.5128,1,1
2023-06-30,4422.43994140625,1,0.5712,1,1
2023-07-03,4442.2900390625,0,0.3796,0,1
2023-07-05,4436.60986328125,1,0.6295,1,1
2023-07-06,4385.0498046875,0,0.4342,0,1
2023-07-07,4397.39990234375,1,0.5587,1,1
2023-07-10,4389.919921875,1,0.4258,0,0
2023-07-11,4408.4599609375,1,0.679,1,1
2023-07-12,4463.22998046875,0,0.5998,1,0
2023-07-13,4489.35986328125,1,0.4493,0,0
2023-07-14,4499.56005859375,1,0.5013,1,1
2023-07-17,4504.89990234375,0,0.4862,0,1
2023-07-18,4514.58984375,0,0.5258,1,0
2023-07-19,4557.47998046875,0,0.4094,0,1
2023-07-20,4527.56005859375,0,0.6288,1,0
2023-07-21,4535.7900390625,0,0.5408,1,0
2023-07-24,4541.2900390625,1,0.3616,0,0
2023-07-25,4552.419921875,1,0.5674,1,1
2023-07-26,4547.580078125,1,0.5657,1,1
2023-07-27,4528.56005859375,1,0.6347,1,1
2023-07-28,4564.009765625,1,0.5349,1,1
2023-07-31,4573.14013671875,0,0.4768,0,1
2023-08-01,4567.52978515625,0,0.5674,1,0
2023-08-02,4505.75,1,0.528,1,1
2023-08-03,4485.5400390625,0,0.3379,0,1
2023-08-04,4474.5498046875,1,0.5878,1,1
2023-08-07,4491.14990234375,1,0.6414,1,1
2023-08-08,4464.39013671875,1,0.5361,1,1
2023-08-09,4461.330078125,1,0.5194,1,1
2023-08-10,4457.919921875,1,0.4641,0,0
2023-08-11,4443.97998046875,1,0.545,1,1
2023-08-14,4453.43994140625,1,0.5858,1,1
2023-08-15,4432.18994140625,0,0.5168,1,0
2023-08-16,4403.5498046875,1,0.3916,0,0
2023-08-17,4364.830078125,1,0.4724,0,0
2023-08-18,4335.31005859375,1,0.6218,1,1
2023-08-21,4360.2998046875,0,0.5289,1,0
2023-08-22,4382.77001953125,0,0.4945,0,1
2023-08-23,4396.43994140625,1,0.3357,0,0
2023-08-24,4375.5498046875,1,0.6277,1,1
2023-08-25,4356.2900390625,0,0.6621,1,0
2023-08-28,4414.97998046875,0,0.5458,1,0
2023-08-29,4431.68017578125,0,0.4019,0,1
2023-08-30,4493.58984375,0,0.454,0,1
2023-08-31,4507.39013671875,1,0.3282,0,0
2023-09-01,4501.35009765625,0,0.6461,1,0
2023-09-05,4496.009765625,0,0.7022,1,0
2023-09-06,4442.3798828125,0,0.3704,0,1
2023-09-07,4430.4599609375,0,0.3374,0,1
2023-09-08,4448.3798828125,1,0.6029,1,1
2023-09-11,4467.89013671875,0,0.7246,1,0
2023-09-12,4456.830078125,0,0.3697,0,1
2023-09-13,4453.52001953125,0,0.3621,0,1
2023-09-14,4478.68994140625,0,0.3655,0,1
2023-09-15,4447.2099609375,1,0.692,1,1
2023-09-18,4442.10986328125,1,0.6368,1,1
2023-09-19,4416.60986328125,1,0.4174,0,0
2023-09-20,4401.3798828125,0,0.6663,1,0
2023-09-21,4329.169921875,0,0.3004,0,1
2023-09-22,4316.490234375,1,0.6049,1,1
2023-09-25,4302.7001953125,1,0.6741,1,1
2023-09-26,4265.97998046875,1,0.6969,1,1
2023-09-27,4238.6298828125,1,0.5758,1,1
2023-09-28,4264.3798828125,0,0.4932,0,1
2023-09-29,4274.85986328125,0,0.4523,0,1
2023-10-02,4260.2099609375,0,0.5164,1,0
2023-10-03,4216.4501953125,0,0.5436,1,0
2023-10-04,4220.47998046875,1,0.5213,1,1
2023-10-05,4225.91015625,1,0.4741,0,0
2023-10-06,4219.5498046875,0,0.617,1,0
2023-10-09,4283.7900390625,0,0.4562,0,1
2023-10-10,4339.64013671875,1,0.5692,1,1
