Date,Close,Predicted Value,True Label,Predicted Label
2023-01-03,3801.19,3916.4465,1,1
2023-01-04,3809.3503,3918.9695,1,1
2023-01-05,3819.6428,3921.333,1,1
2023-01-06,3838.2515,3923.2417,1,1
2023-01-09,3865.6833,3928.286,1,1
2023-01-10,3886.8098,3936.148,1,1
2023-01-11,3921.5256,3943.6245,1,1
2023-01-12,3938.6519,3955.0098,1,1
2023-01-13,3942.1018,3962.3257,1,1
2023-01-17,3942.4966,3965.7554,0,1
2023-01-18,3922.1252,3968.2793,0,0
2023-01-19,3916.9983,3963.1152,1,0
2023-01-20,3923.8838,3961.8635,1,1
2023-01-23,3961.9868,3963.8157,1,1
2023-01-24,3989.4202,3974.9214,0,1
2023-01-25,3976.055,3984.5066,1,0
2023-01-26,4013.9692,3982.4814,1,1
2023-01-27,4017.7666,3992.4084,1,1
2023-01-30,4020.7866,3997.5066,1,1
2023-01-31,4024.3235,4000.9646,1,1
2023-02-01,4027.787,4004.1152,1,1
2023-02-02,4082.8115,4006.1042,0,1
2023-02-03,4077.3325,4022.5933,1,1
2023-02-06,4089.732,4026.2517,1,1
2023-02-07,4090.663,4030.2026,1,1
2023-02-08,4095.4458,4032.8115,0,1
2023-02-09,4082.6155,4035.3406,0,0
2023-02-10,4079.9888,4034.492,1,0
2023-02-13,4081.1372,4034.1643,0,1
2023-02-14,4079.901,4035.4807,0,1
2023-02-15,4078.8003,4036.866,0,1
2023-02-16,4065.2048,4037.341,0,0
2023-02-17,4037.2266,4034.182,0,0
2023-02-21,4011.23,4027.7976,0,0
2023-02-22,3984.3933,4020.5303,0,0
2023-02-23,3964.657,4012.9697,0,0
2023-02-24,3955.7368,4006.3364,0,0
2023-02-27,3953.152,4002.7407,1,0
2023-02-28,3960.6604,4001.6135,1,1
2023-03-01,3962.7756,4002.4702,0,1
2023-03-02,3958.9597,4002.8145,1,0
2023-03-03,3976.262,4001.1047,1,1
2023-03-06,4000.8125,4005.3167,0,1
2023-03-07,3963.6711,4012.6458,0,0
2023-03-08,3957.4922,4004.1335,0,0
2023-03-09,3912.8591,4000.6868,0,0
2023-03-10,3855.478,3988.6296,0,0
2023-03-13,3835.1077,3970.7095,1,0
2023-03-14,3856.3052,3960.6406,1,1
2023-03-15,3867.8025,3961.7476,1,1
2023-03-16,3897.4226,3963.9707,1,1
2023-03-17,3919.7979,3970.5835,1,1
2023-03-20,3934.0024,3975.444,1,1
2023-03-21,3937.8484,3979.7173,0,1
2023-03-22,3924.7397,3981.969,1,0
2023-03-23,3924.971,3978.8484,1,1
2023-03-24,3937.241,3979.4146,1,1
2023-03-27,3973.7776,3983.6187,1,1
2023-03-28,3980.255,3994.6611,1,1
2023-03-29,4003.3325,3998.8757,1,1
2023-03-30,4020.2026,4004.2144,1,1
