Date,Close,Predicted Value,True Label,Predicted Label
2023-01-03,3801.19,3814.088,1,1
2023-01-04,3809.3503,3821.017,1,1
2023-01-05,3819.6428,3830.293,1,1
2023-01-06,3838.2515,3841.674,1,1
2023-01-09,3865.6833,3862.6948,1,1
2023-01-10,3886.8098,3893.3652,1,1
2023-01-11,3921.5256,3914.3667,1,1
2023-01-12,3938.6519,3950.8088,1,1
2023-01-13,3942.1018,3965.0552,1,0
2023-01-17,3942.4966,3963.0002,0,0
2023-01-18,3922.1252,3959.6853,0,0
2023-01-19,3916.9983,3933.8774,1,0
2023-01-20,3923.8838,3929.101,1,1
2023-01-23,3961.9868,3940.1643,1,1
2023-01-24,3989.4202,3987.0305,0,1
2023-01-25,3976.055,4016.2578,1,0
2023-01-26,4013.9692,3993.6445,1,1
2023-01-27,4017.7666,4034.9026,1,1
2023-01-30,4020.7866,4036.7915,1,0
2023-01-31,4024.3235,4036.6208,1,1
2023-02-01,4027.787,4038.472,1,1
2023-02-02,4082.8115,4041.7925,0,1
2023-02-03,4077.3325,4105.3726,1,0
2023-02-06,4089.732,4094.621,1,1
2023-02-07,4090.663,4103.315,1,0
2023-02-08,4095.4458,4101.5996,0,1
2023-02-09,4082.6155,4106.051,0,0
2023-02-10,4079.9888,4090.188,1,0
2023-02-13,4081.1372,4087.498,0,1
2023-02-14,4079.901,4090.1475,0,0
2023-02-15,4078.8003,4089.4417,0,0
2023-02-16,4065.2048,4088.178,0,0
2023-02-17,4037.2266,4072.3027,0,0
2023-02-21,4011.23,4040.2815,0,0
2023-02-22,3984.3933,4012.841,0,0
2023-02-23,3964.657,3986.269,0,0
2023-02-24,3955.7368,3968.6748,0,0
2023-02-27,3953.152,3963.6343,1,1
2023-02-28,3960.6604,3964.6382,1,1
2023-03-01,3962.7756,3975.8035,0,1
2023-03-02,3958.9597,3978.369,1,0
2023-03-03,3976.262,3972.7217,1,1
2023-03-06,4000.8125,3993.2986,0,1
2023-03-07,3963.6711,4021.7173,0,0
2023-03-08,3957.4922,3973.1704,0,0
2023-03-09,3912.8591,3964.931,0,0
2023-03-10,3855.478,3913.9934,0,0
2023-03-13,3835.1077,3849.0054,1,0
2023-03-14,3856.3052,3834.261,1,1
2023-03-15,3867.8025,3871.5237,1,1
2023-03-16,3897.4226,3889.162,1,1
